question,answer
What is the policy period?,12 months from the effective date.
What is the deductible for collision coverage?,$500.
What is the limit for personal liability?,"$100,000."
Is roadside assistance included?,Yes.
What is the process for filing a claim?,Call 1-800-CLAIMS or report online within 24 hours of an incident.
What makes up the policy?,"This booklet, car insurance details, certificate of motor insurance, and Green Flag policy booklet (if applicable)"
What type of policy is Comprehensive with DriveSure?,Same as a Comprehensive policy
Where can I find the exact meanings of specific words and phrases?,Glossary on page 4 or at the start of each section
What should I do with all these documents?,Read them carefully and keep them safe in case you need them
What is included in the policy if I have Green Flag breakdown cover?,Breakdown cover and car insurance as part of the same policy
How much will you pay if my car is damaged?,Up to its UK market value.
Who is covered to drive other cars?,Check your certificate of motor insurance.
Am I covered if I leave my car unlocked or the keys in the car?,"No, we won’t pay a claim."
What is DriveSure?,Our telematics insurance product.
Are my electric car’s charging cables covered?,"Yes, under ‘Section 2: Fire and theft’ or ‘Section 4: Accidental damage’ of your policy."
What are Accessories in the context of car insurance?,"Parts or products specifically designed to be fitted to your car, including electric car’s charging cables and the charger installed at home."
Who is an Approved repairer?,A repairer in our network of contracted repairers who’s approved by us to carry out repairs to your car following a claim under this policy.
What is a Certificate of motor insurance?,A document that provides evidence that you have taken out the insurance you must have by law.
What is a Courtesy car?,"A small hatchback car, or similar car, that an approved repairer supplies to you temporarily on our behalf."
What is Excess in the context of car insurance?,The amount that you may have to pay towards a claim.
What is considered a 'Loss of any limb'?,"A limb severed at or above the wrist or ankle, or the total and irrecoverable loss of use of a hand, arm, foot or leg."
Who is the 'Main driver'?,The person declared as the main user of the car and shown as the main driver on the car insurance details.
What is the 'Market value' of a car?,"The cost of replacing the car with another of the same make and model, and of a similar age, mileage, and condition at the time of the accident or loss."
What are 'Modifications' to a car?,"Any changes to the car's standard specification, including optional extras."
Who is the 'Policyholder'?,The person named as the policyholder on the car insurance details.
What is the phone number to call for windscreen claims?,0800 328 9150
What information do I need to provide when making a claim?,"Personal details, policy number, car registration number, description of loss or damage, and other driver's details if applicable"
Do I need to inform the insurance company even if I'm not making a claim?,Yes
In what situations do I not need to pay an excess?,"If you're in an accident that's not your fault and the insurance company can recover costs, or if your car is stolen from a private locked garage"
What should I do if I receive any communication from a court or a threat of legal action?,Contact the insurance company straight away
What happens if I choose to repair my car at a repairer of my choice?,Those repairs will NOT be guaranteed by the insurer.
